,street_number,street_name,states,formed,removed,length_(mi),length_(km),southern_or_western_terminus,northern_or_eastern_terminus,wiki_link,wiki_id,coordinates_name,icon_name,notes
211,US 285,U.S. Route 285 (1926),"['Texas', 'Oklahoma', 'Colorado', 'Wyoming', 'Montana']",1926.0,1934.0,133.0,214.0,"Laramie, WY","Denver, CO",https://en.wikipedia.org/wiki/U.S._Route_285_(1926),Q2139467,u.s._route_285_(1926),u.s._route_285_(1926),Replaced by US 287
212,US 287,U.S. Route 287,"['Texas', 'Oklahoma', 'Colorado', 'Wyoming', 'Montana']",1934.0,,1791.0,2882.0,"US 69/US 96/TX 87 in Port Arthur, TXYellowstone National Park, MT","Yellowstone National Park, WYUS 89 in Choteau, MT",https://en.wikipedia.org/wiki/U.S._Route_287,Q2139467,,u.s._route_287,Segments connected by road through Yellowstone National Park
213,US 290,U.S. Route 290,['Texas'],1926.0,,276.0,444.0,"I-10 near Harper, TX","I-610 northwest of Houston, TX",https://en.wikipedia.org/wiki/U.S._Route_290,Q2505541,u.s._route_290,u.s._route_290,"Intrastate, Texas only"
214,US 295,U.S. Route 295,['Washington'],1926.0,1968.0,45.0,72.0,"US 12 west of Pomeroy, WA","US 195 in Colfax, WA",https://en.wikipedia.org/wiki/U.S._Route_295,Q835177,u.s._route_295,u.s._route_295,Redesignated SR 127
215,US 299,U.S. Route 299,['California'],1934.0,1964.0,295.0,475.0,"Alturas, CA","Arcata, CA",https://en.wikipedia.org/wiki/U.S._Route_299,Q758190,u.s._route_299,u.s._route_299,Redesignated SR 299
216,US 301,U.S. Route 301,"['Florida', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia', 'Maryland', 'Delaware']",1926.0,,120.0,190.0,"US 1 in Lee Hall, VA","Fredericksburg, VA",https://en.wikipedia.org/wiki/U.S._Route_301,Q2427857,u.s._route_301,u.s._route_301,Replaced by US 17; not in revised numbering plan
217,US 301,U.S. Route 301,"['Florida', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia', 'Maryland', 'Delaware']",1932.0,,1111.0,1788.0,"US 41 in Sarasota, FL","DE 1 in Biddles Corner, DE",https://en.wikipedia.org/wiki/U.S._Route_301,Q2427857,u.s._route_301,u.s._route_301,
218,US 302,U.S. Route 302,"['Vermont', 'New Hampshire', 'Maine']",1935.0,,171.0,275.0,"US 2 in Montpelier, VT","I-295, US 1 in Portland, ME",https://en.wikipedia.org/wiki/U.S._Route_302,Q1411062,u.s._route_302,u.s._route_302,Maine signs the eastern end along US 1 several blocks south of I-295
219,US 309,U.S. Route 309 in Pennsylvania,['Pennsylvania'],1926.0,1967.0,214.0,344.0,"Philadelphia, PA","South Waverly, PA",https://en.wikipedia.org/wiki/U.S._Route_309_in_Pennsylvania,Q1243887,u.s._route_309_in_pennsylvania,u.s._route_309_in_pennsylvania,Redesignated PA 309
220,US 310,U.S. Route 310,"['Wyoming', 'Montana']",1926.0,,108.0,174.0,"US 14, US 16, US 20 in Greybull, WY","I-90, US 212 in Laurel, MT",https://en.wikipedia.org/wiki/U.S._Route_310,Q2235781,u.s._route_310,u.s._route_310,Wyoming signs the eastern (southern) end where AASHTO has it join US 14/US 16/US 20 west of Greybull
221,US 311,U.S. Route 311,"['North Carolina', 'Virginia']",1926.0,,62.4,100.4,"US 52 in Winston-Salem, NC","US 58 Bus. near Danville, VA",https://en.wikipedia.org/wiki/U.S._Route_311,Q4816618,u.s._route_311,u.s._route_311,
222,US 312,U.S. Route 312,['Montana'],1960.0,1981.0,234.0,377.0,"Broadus, MT",Yellowstone National Park,https://en.wikipedia.org/wiki/U.S._Route_312,Q2235337,u.s._route_312,u.s._route_312,Redesignated MT 59
